DateTime of Tweet,Replying to,Tweet,Likes,Retweet,Image
14/11/2022 10:04:19,1,Elon Musk lleva una semana al frente de Twitter. ¿Cómo será la plataforma a medio plazo? El periodista @CaseyNewton ha tenido acceso al roadmap que se planea para las próximas semanas y meses. Aquí van algunas claves. Importante para newsletteros: Musk cierra Revue.Más,0,0,https://pbs.twimg.com/media/FhhC8QlWIAAQG-h?format=jpg&name=small
14/11/2022 10:17:03,0,Bajo la administración de Elon Musk ya ha sido despedido el 80% de los empleados de Twitter http://dlvr.it/Sckxs6,0,0,https://pbs.twimg.com/media/FhhF3C3aAAEcV9Q?format=jpg&name=small
14/11/2022 07:00:12,0,"Elon musk tío perdón tío, perdón por promover o alentar al su1cidi0 o a las aut0les1ones tío",2,0,
14/11/2022 10:18:31,0,Ya me voy. Cuídense y por aquí vendré a poner mis productos y proyectos en tanto el señor Musk no venda al fierro viejo su juguete roto.,1,0,
14/11/2022 09:15:00,0,Tirar Del Cable 2x17 Elon Musk PACHACHOEscúchalo en tus plataformas favoritasiVoox: https://bit.ly/3WeFUDxSpotify: https://spoti.fi/3r341adApple Podcast: https://apple.co/3x1smRCAmazon Music: https://amzn.to/3qZDhY4Google Podcast: https://bit.ly/3t1oOMd,1,0,https://pbs.twimg.com/media/FhgwupBWAAE4Wzq?format=jpg&name=small
14/11/2022 09:57:02,0,A COMPARTIR HASTA QUE EL ÚLTIMO SER HUMANO LO SEPA,2,0,
14/11/2022 09:14:04,0,Buenos dias jungla alquilada por Elon Musk,3,0,
14/11/2022 08:12:59,2,"ELON MUSK: “ #BITCOIN  LO LOGRARÁ, ¡PERO PODRÍA SER UN INVIERNO LARGO EN CRIPTO!” #bitcoin #cryptocurrency",0,0,https://pbs.twimg.com/media/FhgpdeEXgAAQy_y?format=jpg&name=small
14/11/2022 09:15:15,2,El magnate apuesta por los cohetes y por los túneles subterráneos para agilizar el transporte y solucionar las congestiones de tráfico,4,1,
14/11/2022 07:31:30,12,"El primer trending topic de España es uno pagado por Starlink, la empresa de Musk de conexión a internet por satélite. #starlinkespaña.Aquí los hechos. Tuyas las conclusiones.",11,3,https://pbs.twimg.com/media/Fhgf9-sWIAYvgzm?format=jpg&name=small
14/11/2022 09:18:23,0,"""El coste laboral por empleado en Twitter España ascendió a 143.000 euros en 2021 (unos 120.000 euros de salario bruto)"".",1,1,
14/11/2022 09:50:14,0,Elon Musk hace el ridículo. Da igual cuándo leas esto.,0,0,
14/11/2022 10:15:34,0,"Alienígenas, túneles y viajes en cohete: la visión de futuro de Musk en el G20 https://rfi.my/8u98.t",0,0,https://pbs.twimg.com/media/FhhFhcjaAAAzN3W?format=jpg&name=small
14/11/2022 07:57:59,1,Si Elon Musk juega al Musk ¿Tendrá un órdagok a la grandek? XD,1,0,
14/11/2022 10:12:40,0,Cómo era eso de que todo mejoría por acá? ⁦@nachomdeo⁩ Escribís sobre fenómenos tecnológicos sin estar bien informado. No se trata de elegir una plataforma entre varias. Se trata de que su compresión y manejo sea comprensible para sus usuarios.,0,0,
14/11/2022 10:19:04,0,"El thrash metal contra Elon Musk, las cuerdas de ZZ Top, adiós a Keith Levene, el juguete de Hellraiser... http://dlvr.it/SckyD6",0,0,https://pbs.twimg.com/media/FhhGUgNaUAUoJtm?format=jpg&name=small
14/11/2022 08:13:50,0,"Elon Musk y #Tesla - La lucha por el futuro del automóvil eléctrico | DW Documental https://youtu.be/WrYEGnE6AQA , no comas comida en botella, #cambioclimatico, me saludas a @NuModEnergetico",0,0,https://pbs.twimg.com/media/FhgpqQiUYAAhjiF?format=jpg&name=small
14/11/2022 08:57:02,0,Elon Musk tendrá mi respeto cuando sea capaz de implantarme este video en el cerebro con un microchí.,1,0,
14/11/2022 08:09:07,0,"#MercadoTI Elon Musk, un elefante en la cacharrería de Twitter http://dlvr.it/SckffN",0,0,https://pbs.twimg.com/media/FhgolIPaAAAsdFA?format=jpg&name=small
14/11/2022 08:30:02,1,"Les dejo mis reflexiones domingueras iniciales sobre la entrada de Musk en Twitter, un caso apasionante--Ciudadano Musk irrumpe en Twitter https://theobjective.com/elsubjetivo/opinion/2022-11-13/elon-musk-twitter/… a través de @TheObjective_es Abro pequeño hilo con dos recomendaciones y varias encuestas imposibles1/n",9,2,
14/11/2022 08:47:43,0,Sánchez se queda sin su foto con Elon Musk: no se reunirá con el dueño de Twitter en el G20: https://okdiario.com/espana/sanchez-queda-sin-foto-elon-musk-no-reunira-dueno-twitter-g20-9969147…Huy! Falta la foto para su álbum de las vanidades! donde el único inútil y don nadie es Sánchez!!,1,1,
14/11/2022 07:53:49,0,Imagina ser accionista de algo de musk,0,0,https://pbs.twimg.com/media/FhglEIrXEAEArMG?format=jpg&name=900x900
14/11/2022 09:36:08,1,"Elon Musk ya sospechaba de Sam Bankman-Fried, fundador y exCEO de FTX: Elon Musk hizo comentarios fuertes sobre el fundador de FTX a quien, en otras palabras, lo calificó de ser un “falso”. Leer más http://dlvr.it/SckrrV",0,0,https://pbs.twimg.com/media/Fhg8f2ZaMAEFzW9?format=jpg&name=small
14/11/2022 07:25:00,0,"Musk: ""Los cohetes permitirán ir de una punta a otra del mundo en 45 minutos""",2,0,
14/11/2022 07:54:25,1,"Contra los atascos, lo mejor es lo que ha hecho él. Una videoconferencia. Teletrabajo 100%.",2,0,
14/11/2022 08:03:16,1,Leyendo la transcripción de la primera reunión de Elon con el Twitter team:,2,0,
14/11/2022 07:41:39,0,La multimillonaria remuneración de Musk en Tesla va a juicio este lunes,1,0,
14/11/2022 09:55:34,0,"#Twitter Elon Musk recibió duras críticas tras despedir a 3.700 empleados. Poco después, en un audio filtrado del multimillonario quedaron expuestas las condiciones laborales que prevé.",0,0,
14/11/2022 07:24:09,0,"Una de las razones por las que sé que Mastodon no va a funcionar, salvo que Musk les haga el trabajo, es porque esto ya lo he vivido punto por punto:",1,0,
14/11/2022 10:11:38,0,Elon Musk sigue recortando el personal en Twitter,0,0,
14/11/2022 07:54:36,0,"Mastodon, un Twitter sin nazis: así es la red que quiere ser una alternativa al nuevo juguete de Musk https://infolibre.es/1_14c5d4 a través de @_infolibre",1,1,
14/11/2022 10:09:36,0,"Despidos masivos, caos, descontrol y desafíos: la llegada de Elon Musk a Twitter",0,0,
14/11/2022 07:09:49,0,"Otro @lopezobrador_... Pensó que era más listo y tenía mejores ideas que los anteriores, pero sólo llegó a descomponer lo que estaba bien y hacer problemas donde no los había. Así hay muchos...",1,0,
14/11/2022 08:33:38,0,"Dando mi opinión sobre Mastodon, la alternativa a Twitter que tiene difícil imponerse a Musk: “No es nada intuitiva” vía @consumidorglob",1,1,
14/11/2022 08:31:32,1,Querido tito @elonmusk ¿¿para cuando comprar http://crypto.com ??,0,0,
14/11/2022 09:34:57,0,"O idiota mata de vez o Twitter.Grande ""genio"" Elon Musk.",0,0,https://pbs.twimg.com/media/FheOBVXVUAAu_Fw?format=png&name=120x120
14/11/2022 09:10:00,0,Musk alimenta su negocio: SpaceX compra un paquete publicitario de Starlink en Twitter,1,0,
14/11/2022 08:51:12,0,"Otro, y Musk le responde indignado sólo para recibir otro bañito.",0,0,
14/11/2022 09:46:39,0,"En @BIEspana: SpaceX adquiere una de las campañas de publicidad más caras de Twitter para evitar el daño del éxodo de las marcas, pero Musk advierte: ""la bancarrota no está descartada""",0,1,
14/11/2022 09:45:50,0,Twitter trae de vuelta la insignia verificada 'oficial' porque Elon Musk no tiene idea de lo que está haciendo via @gizmodoES,0,0,
14/11/2022 09:45:22,0,Siete años en esta aplicación del demonio... Veremos si llegamos a 8 o musk se la carga antes #MiAniversarioDeTwitter,1,0,https://pbs.twimg.com/media/Fhg-m52WAAAuc7L?format=jpg&name=small
14/11/2022 07:34:06,0,Si tuviera que definir Twitter estos días sería esta escena de Watchmen en la que Rorschach sería el propio Twitter y los presos Elon Musk.,0,0,
14/11/2022 10:06:33,0,Ni trenes ni aviones: Elon Musk propone una red de transporte con cohetes que cruzan la Tierra en 45 minutos,0,0,
14/11/2022 10:06:54,0,Filtrada la primera reunión de Elon Musk con sus empleados de Twitter https://criptodefi.com/primera-reunion-elon-musk-twitter-transcripcion-espanol/… via @criptodefiweb,0,0,
14/11/2022 10:08:21,1,Ser Elon Musk no mola tanto como crees,1,0,
14/11/2022 08:13:53,0,¿En serio?¿Para ser multimillonario hay que ser tonto?,0,0,
14/11/2022 07:40:00,0,Elon Musk se burló de un senador que pidió explicaciones por impostores en Twitter,1,1,
14/11/2022 10:24:32,0,"Vamos a lo importante. ¿Cómo va el asunto de la cuenta del eximio doctor @RafaelTimermans, don @elonmusk? Que el doctor es un tipo genial aunque tenga un gusto algo censurable con los calcetines.",0,0,
14/11/2022 09:02:00,0,"Mastodon, la alternativa a Twitter que tiene difícil imponerse a Musk: “No es nada intuitiva” con la opinión de nuestro vicedecano @cristobalfdez en @consumidorglob",2,1,
14/11/2022 08:35:27,0,"Elon Musk: Las lanzaderas espaciales pueden convertir a la humanidad en ""una especie multiplanetaria"" @elperiodico",0,0,
14/11/2022 09:51:36,0,Bajo la administración de Elon Musk ya ha sido despedido el 80% de los empleados de Twitter https://wwwhatsnew.com/2022/11/14/bajo-la-administracion-de-elon-musk-ya-ha-sido-despedido-el-80-de-los-empleados-de-twitter/… #tecnología,0,1,
14/11/2022 08:25:50,0,Elon Musk abre el primer túnel subterráneo para aliviar el tráfico en Los Ángeles...,0,0,
14/11/2022 09:27:49,0,"Sigues nervioso o si tú lo haces (como siempre con o sin Musk) ahí no es un pozo negro y tal? Mira que sois hipócritas, cínicos y lloricas, cuando sois los primeros y los TOP de lo que tratáis de criticar/señalar",0,0,https://pbs.twimg.com/media/FheXhC1XgAAvtjq?format=png&name=360x360
14/11/2022 07:02:39,1,"Nadie:Absolutamente nadie, ni Elon Musk:Yo peleándome conmigo misma en Twitter:",1,0,
14/11/2022 09:06:33,0,La crisis de Twitter con la llegada de Elon Musk a la dirección ejecutiva de la red social,0,0,
14/11/2022 06:41:43,0,Elon Musk tranquiliza a las compañías por suplantaciones en Twitter,0,0,
14/11/2022 08:19:50,0,"¿Qué hay tras el ""absolutismo de la libertad de expresión"" de Musk? https://infolibre.es/politica/farsa-liberacion-twitter-irrupcion-musk-ahonda-vicios-bulocracia_1_1358442.html…(@andrewmarantz, @Juancarlosblanc, @adjustepsi, @lukemunn, @IagoMoreno_es, @raulmagallon et al)",5,4,
14/11/2022 10:18:38,1,Musk va a juicio por su salario en Tesla en plena guerra con el equipo de Twitter,0,0,
